domain,unicode_domain,public_suffix,registration_level
123.com.ye,123.com.ye,com.ye,under_structured_suffix
13june-corp.com.ye,13june-corp.com.ye,com.ye,under_structured_suffix
14october.com.ye,14october.com.ye,com.ye,under_structured_suffix
189.gov.ye,189.gov.ye,gov.ye,under_structured_suffix
189.ye,189.ye,ye,direct_under_ye
1st-b.com.ye,1st-b.com.ye,com.ye,under_structured_suffix
21umas.edu.ye,21umas.edu.ye,edu.ye,under_structured_suffix
3allimni.ye,3allimni.ye,ye,direct_under_ye
3d.com.ye,3d.com.ye,com.ye,under_structured_suffix
4dimensions.com.ye,4dimensions.com.ye,com.ye,under_structured_suffix
7july.edu.ye,7july.edu.ye,edu.ye,under_structured_suffix
7october.com.ye,7october.com.ye,com.ye,under_structured_suffix
aaec.com.ye,aaec.com.ye,com.ye,under_structured_suffix
aau.edu.ye,aau.edu.ye,edu.ye,under_structured_suffix
abiyemen.com.ye,abiyemen.com.ye,com.ye,under_structured_suffix
abo-ragheb.com.ye,abo-ragheb.com.ye,com.ye,under_structured_suffix
abofuad.com.ye,abofuad.com.ye,com.ye,under_structured_suffix
abojameel.com.ye,abojameel.com.ye,com.ye,under_structured_suffix
abomajed.com.ye,abomajed.com.ye,com.ye,under_structured_suffix
abomiskahmauawad.com.ye,abomiskahmauawad.com.ye,com.ye,under_structured_suffix
aboos.org.ye,aboos.org.ye,org.ye,under_structured_suffix
abpco.com.ye,abpco.com.ye,com.ye,under_structured_suffix
abunabgroup.com.ye,abunabgroup.com.ye,com.ye,under_structured_suffix
abuyasser-bros.com.ye,abuyasser-bros.com.ye,com.ye,under_structured_suffix
acf.gov.ye,acf.gov.ye,gov.ye,under_structured_suffix
acp.com.ye,acp.com.ye,com.ye,under_structured_suffix
actnow.org.ye,actnow.org.ye,org.ye,under_structured_suffix
acu.org.ye,acu.org.ye,org.ye,under_structured_suffix
aden.com.ye,aden.com.ye,com.ye,under_structured_suffix
aden.gov.ye,aden.gov.ye,gov.ye,under_structured_suffix
adencement.com.ye,adencement.com.ye,com.ye,under_structured_suffix
adencomplex.com.ye,adencomplex.com.ye,com.ye,under_structured_suffix
adengiu.edu.ye,adengiu.edu.ye,edu.ye,under_structured_suffix
adenradio.gov.ye,adenradio.gov.ye,gov.ye,under_structured_suffix
adentv.ye,adentv.ye,ye,direct_under_ye
adn.com.ye,adn.com.ye,com.ye,under_structured_suffix
adnanco.com.ye,adnanco.com.ye,com.ye,under_structured_suffix
adro.org.ye,adro.org.ye,org.ye,under_structured_suffix
adveva.ye,adveva.ye,ye,direct_under_ye
aero.ye,aero.ye,ye,direct_under_ye
aeticc.com.ye,aeticc.com.ye,com.ye,under_structured_suffix
afmis.gov.ye,afmis.gov.ye,gov.ye,under_structured_suffix
afy.gov.ye,afy.gov.ye,gov.ye,under_structured_suffix
aghhajjah.gov.ye,aghhajjah.gov.ye,gov.ye,under_structured_suffix
agip.com.ye,agip.com.ye,com.ye,under_structured_suffix
agoye.gov.ye,agoye.gov.ye,gov.ye,under_structured_suffix
agriculturalguide.com.ye,agriculturalguide.com.ye,com.ye,under_structured_suffix
agriculture.gov.ye,agriculture.gov.ye,gov.ye,under_structured_suffix
ahd.com.ye,ahd.com.ye,com.ye,under_structured_suffix
ahgaff.com.ye,ahgaff.com.ye,com.ye,under_structured_suffix
ahgaff.edu.ye,ahgaff.edu.ye,edu.ye,under_structured_suffix
ahi-motors.com.ye,ahi-motors.com.ye,com.ye,under_structured_suffix
ahkagroup.com.ye,ahkagroup.com.ye,com.ye,under_structured_suffix
ahm.com.ye,ahm.com.ye,com.ye,under_structured_suffix
ahm.ye,ahm.ye,ye,direct_under_ye
ahmar.com.ye,ahmar.com.ye,com.ye,under_structured_suffix
aic.com.ye,aic.com.ye,com.ye,under_structured_suffix
airtransport.gov.ye,airtransport.gov.ye,gov.ye,under_structured_suffix
ajnadeenpharma.com.ye,ajnadeenpharma.com.ye,com.ye,under_structured_suffix
akgpo.com.ye,akgpo.com.ye,com.ye,under_structured_suffix
al-andalos.com.ye,al-andalos.com.ye,com.ye,under_structured_suffix
al-dhurasiperfumes.com.ye,al-dhurasiperfumes.com.ye,com.ye,under_structured_suffix
al-emadfoundation.com.ye,al-emadfoundation.com.ye,com.ye,under_structured_suffix
al-fath.com.ye,al-fath.com.ye,com.ye,under_structured_suffix
al-fursan.com.ye,al-fursan.com.ye,com.ye,under_structured_suffix
al-kaisfirm.com.ye,al-kaisfirm.com.ye,com.ye,under_structured_suffix
al-mutameizahe.com.ye,al-mutameizahe.com.ye,com.ye,under_structured_suffix
al-rashed.com.ye,al-rashed.com.ye,com.ye,under_structured_suffix
aladelcorp.com.ye,aladelcorp.com.ye,com.ye,under_structured_suffix
alafaq.edu.ye,alafaq.edu.ye,edu.ye,under_structured_suffix
alahlasi.com.ye,alahlasi.com.ye,com.ye,under_structured_suffix
alahliawater.com.ye,alahliawater.com.ye,com.ye,under_structured_suffix
alahlyahpharma.com.ye,alahlyahpharma.com.ye,com.ye,under_structured_suffix
alahmar.com.ye,alahmar.com.ye,com.ye,under_structured_suffix
alahwal.com.ye,alahwal.com.ye,com.ye,under_structured_suffix
alaidrousexchange.com.ye,alaidrousexchange.com.ye,com.ye,under_structured_suffix
alalamiyahexp.com.ye,alalamiyahexp.com.ye,com.ye,under_structured_suffix
alamalbank.com.ye,alamalbank.com.ye,com.ye,under_structured_suffix
alameen.ye,alameen.ye,ye,direct_under_ye
alamjad.edu.ye,alamjad.edu.ye,edu.ye,under_structured_suffix
alanqa.com.ye,alanqa.com.ye,com.ye,under_structured_suffix
alarabiagroup.com.ye,alarabiagroup.com.ye,com.ye,under_structured_suffix
alarabuni.edu.ye,alarabuni.edu.ye,edu.ye,under_structured_suffix
alaskari.com.ye,alaskari.com.ye,com.ye,under_structured_suffix
alaskari.net.ye,alaskari.net.ye,net.ye,under_structured_suffix
alataa.com.ye,alataa.com.ye,com.ye,under_structured_suffix
alataamedical.com.ye,alataamedical.com.ye,com.ye,under_structured_suffix
alatta.org.ye,alatta.org.ye,org.ye,under_structured_suffix
alawaelsmart.com.ye,alawaelsmart.com.ye,com.ye,under_structured_suffix
alayzour-store.net.ye,alayzour-store.net.ye,net.ye,under_structured_suffix
albaath.ye,albaath.ye,ye,direct_under_ye
albadjiexchange.com.ye,albadjiexchange.com.ye,com.ye,under_structured_suffix
albaidany.com.ye,albaidany.com.ye,com.ye,under_structured_suffix
albarakacenter.com.ye,albarakacenter.com.ye,com.ye,under_structured_suffix
albasha.com.ye,albasha.com.ye,com.ye,under_structured_suffix
albaydhahis.gov.ye,albaydhahis.gov.ye,gov.ye,under_structured_suffix
albayyinat.net.ye,albayyinat.net.ye,net.ye,under_structured_suffix
albayynat.net.ye,albayynat.net.ye,net.ye,under_structured_suffix
albidaniex.ye,albidaniex.ye,ye,direct_under_ye
albilad-exch.com.ye,albilad-exch.com.ye,com.ye,under_structured_suffix
alcaontelecom.com.ye,alcaontelecom.com.ye,com.ye,under_structured_suffix
alcomobile.com.ye,alcomobile.com.ye,com.ye,under_structured_suffix
aldhurasi-est.com.ye,aldhurasi-est.com.ye,com.ye,under_structured_suffix
